,Site,latitude,longitude
0,121.0,-83.636175,-59.014835
171,122.0,-83.74600000000001,-58.99211
500,123.0,-83.66119444444445,-58.64581
1016,142.0,-83.69963,-58.98629222222222
1802,128.0,-80.26328735500002,-82.114663905
3802,129.0,-80.258655,-82.13678
5802,130.0,-80.2574,-82.12944999999999
7802,131.0,-80.26937233333332,-82.17358899999999
9802,132.0,-80.32935,-81.32605000000001
9901,134.0,-80.32408789,-81.5067098
11550,135.0,-80.32422133111112,-81.52131314
13200,136.0,-80.32415900000001,-81.394227
14850,148.0,-77.312075,-142.110975
15490,152.0,-77.26504,-143.3305
16394,149.0,-77.06856,-145.57896
17415,151.0,-77.08276000000001,-145.54864
17667,63.0,-85.40454666666666,-135.94257833333333
18052,64.0,-85.402436,-136.210922
18754,66.0,-85.42970833333332,-135.90295999999998
19519,163.0,-74.592516,-99.449306
19709,164.0,-74.552285,-99.19523166666669
19881,46.0,-79.91579428571428,156.83614714285713
21680,47.0,-79.89832954139537,156.80500417209302
22715,75.0,-79.89819285714285,159.1174585714286
24715,76.0,-79.83699999999999,159.20126
26443,40.0,-73.0406,66.46164999999999
27514,70.0,-72.6039402222222,169.35165877777777
29114,45.0,-73.96166285714285,165.07666857142857
30246,60.0,-85.49342666666668,-154.54936111111112
30729,61.0,-85.53085466666668,-154.534622
32729,53.0,-77.00415555555554,161.7613
33424,54.0,-77.03570833333333,161.640075
35424,55.0,-76.99818,161.78932
36070,124.0,-74.55680883375,-62.51908333375
38070,56.0,-83.50850000000001,171.42368333333332
39098,57.0,-83.51696111111112,171.39486666666667
41098,116.0,-84.09955857142857,-56.78210285714287
42712,117.0,-84.09835,-56.78345
43205,59.0,-84.707625,-176.6065
43917,29.0,-74.98963666666667,157.91673666666668
45141,30.0,-74.991042,157.919722
45820,31.0,-74.98963499999999,157.9158
47281,49.0,-76.18618345,161.99425671666668
47840,50.0,-76.192063938,161.94792263999997
48170,165.0,-79.1235,-78.09080555555556
