Site,Sub-region,ICE-D Short  Name,Latitude,Longitude,LGM_Ice_Thickness (meters above present day ice thickness),Publication
1,"Condon Hills, Lower Unnamed Nuntak",CNDL,-67.93755,48.5797,500,https://doi.org/10.1002/2013JF002870
2,Casey Bay; Demidov Island ,DDVI,-67.474,48.3343,500,https://doi.org/10.1002/2013JF002877
3,"Lutzlow-Holm Bay, Skarvsnes",SKARV,-69.484,39.67368,360,https://doi.org/10.1016/j.quascirev.2013.07.024; https://doi.org/10.1016/j.quascirev.2013.07.027
4,"Lutzlow-Holm Bay, Skarvsnes",SKARV,-69.485,39.6975,360,https://doi.org/10.1016/j.quascirev.2013.07.024; https://doi.org/10.1016/j.quascirev.2013.07.027
5,"Lutzlow-Holm Bay, Telen",TELEN,-69.65245,39.70925,360,https://doi.org/10.1016/j.quascirev.2013.07.024; https://doi.org/10.1016/j.quascirev.2013.07.057
6,"Lutzlow-Holm Bay, Telen",TELEN,-69.6509,39.686,360,https://doi.org/10.1016/j.quascirev.2013.07.024; https://doi.org/10.1016/j.quascirev.2013.07.057
7,"Lutzlow-Holm Bay, Skallen",SKALL,-69.654625,39.4503,400,https://doi.org/10.1016/j.quascirev.2020.106540
8,"Lutzlow-Holm Bay, Skallen",SKALL,-69.67805,39.47915,400,https://doi.org/10.1016/j.quascirev.2020.106541
9,"Lutzlow-Holm Bay, Skallen",SKALL,-69.6728,39.4826,400,https://doi.org/10.1016/j.quascirev.2020.106542
10,"Lutzlow-Holm Bay, Skallen",SKALL,-69.68,39.47,400,https://doi.org/10.1016/j.quascirev.2020.106554
11,"Lutzlow-Holm Bay, Skarvsnes",SKARV,-69.4298125,39.6091625,400,https://doi.org/10.1002/jqs.1465; https://egusphere.copernicus.org/preprints/2024/egusphere-2024-275/egusphere-2024-275.pdf
12,"Jutulstraumen, Viddalskollen,  Midbresrabben","VIDDALS, MIDBRES",-72.40242333,-2.339023333,700,https://doi.org/10.1016/j.quascirev.2013.07.029
13,"Larsemann Hills, Stornes",STORNES,-69.42383333,76.08344815,598,https://doi.org/10.1016/j.yqres.2009.04.002;  https://doi.org/10.1017/S0954102001000608; https://www.pnas.org/action/downloadSupplement?doi=10.1073%2Fpnas.1205385109&file=Appendix.pdf
14,"Rauer Group, Mather Peninsula, Filla Island, Mosquito Island, Hop Island","MATHER, FILLAI",-68.84916,77.924325,600,https://doi.org/10.1016/j.yqres.2009.04.011
15,"Rauer Group,Mosquito Island, Hop Island","HOPI, MOSQUITO",-68.8362825,77.7912975,600,https://doi.org/10.1016/j.yqres.2009.04.012
16,"Vestfold Hills, Vestfold Hills",VEST,-68.65049,78.2841485,600,https://doi.org/10.1016/j.yqres.2009.04.030
17,"Vestfold Hills, Vestfold Hills",VEST,-68.53284,78.5078,600,https://doi.org/10.1016/j.yqres.2009.04.031
18,"Vestfold Hills, Vestfold Hills",VEST,-68.536,78.389,600,https://doi.org/10.1016/j.yqres.2009.04.032
19,"Vestfold Hills, Vestfold Hills",VEST,-68.48652778,78.52777778,600,https://doi.org/10.1016/j.yqres.2009.04.033
20,"Vestfold Hills, Vestfold Hills",VEST,-68.53527778,78.32453704,600,https://doi.org/10.1016/j.yqres.2009.04.034
